name,pos,tags
alan bates,PN,famous
ned beatty,PN,famous
warren beatty,PN,famous
peter falk,PN,famous
gene hackman,PN,famous
martin landau,PN,famous
armin mueller-stahl,PN,famous
estelle parsons,PN,famous
emmanuelle riva,PN,famous
rip torn,PN,famous
robert vaughn,PN,famous
alan arkin,PN,famous
julie christie,PN,famous
james coburn,PN,famous
judi dench,PN,famous
catherine deneuve,PN,famous
louis gossett jr.,PN,famous
william hickey,PN,famous
ian holm,PN,famous
glenda jackson,PN,famous
sally kellerman,PN,famous
mary tyler moore,PN,famous
jack nicholson,PN,famous
lee remick,PN,famous
liv ullmann,PN,famous
alan alda,PN,famous
ellen burstyn,PN,famous
dyan cannon,PN,famous
patty duke,PN,famous
albert finney,PN,famous
peter firth,PN,famous
louise fletcher,PN,famous
richard harris,PN,famous
diane ladd,PN,famous
vanessa redgrave,PN,famous
george c. scott,PN,famous
jennifer tilly,PN,famous
seymour cassel,PN,famous
jane fonda,PN,famous
joan hackett,PN,famous
ron howard,PN,famous
mako,PN,famous
shirley knight,PN,famous
ian mckellen,PN,famous
liza minnelli,PN,famous
burt reynolds,PN,famous
diana ross,PN,famous
raquel welch,PN,famous
billy dee williams,PN,famous
susannah york,PN,famous
karen black,PN,famous
eileen brennan,PN,famous
bruce dern,PN,famous
samantha eggar,PN,famous
dustin hoffman,PN,famous
anthony hopkins,PN,famous
sally kirkland,PN,famous
sylvia miles,PN,famous
ryan o'neal,PN,famous
robert redford,PN,famous
rob reiner,PN,famous
ann-margret,PN,famous
james caan,PN,famous
tippi hedren,PN,famous
john hurt,PN,famous
sarah miles,PN,famous
dudley moore,PN,famous
joe pesci,PN,famous
roy scheider,PN,famous
martin sheen,PN,famous
chaim topol,PN,famous
brenda vaccaro,PN,famous
gene wilder,PN,famous
mary badham,PN,famous
klaus maria brandauer,PN,famous
tom courtenay,PN,famous
robert de niro,PN,famous
olympia dukakis,PN,famous
faye dunaway,PN,famous
sally field,PN,famous
peter fonda,PN,famous
lynn redgrave,PN,famous
katharine ross,PN,famous
terence stamp,PN,famous
donald sutherland,PN,famous
janet suzman,PN,famous
lesley ann warren,PN,famous
cher,PN,famous
pauline collins,PN,famous
tom conti,PN,famous
melinda dillon,PN,famous
teri garr,PN,famous
judd hirsch,PN,famous
richard pryor,PN,famous
sam shepard,PN,famous
jon voight,PN,famous
dom deluise,PN,famous
gérard depardieu,PN,famous
richard dreyfuss,PN,famous
morgan freeman,PN,famous
brenda fricker,PN,famous
elliott gould,PN,famous
elizabeth hartman,PN,famous
madeline kahn,PN,famous
cleavon little,PN,famous
malcolm mcdowell,PN,famous
pat morita,PN,famous
susan tyrrell,PN,famous
sam waterston,PN,famous
candice bergen,PN,famous
jodie foster,PN,famous
giancarlo giannini,PN,famous
barbara hershey,PN,famous
timothy hutton,PN,famous
frank langella,PN,famous
bette midler,PN,famous
charlotte rampling,PN,famous
lily tomlin,PN,famous
paul winfield,PN,famous
jane alexander,PN,famous
michael douglas,PN,famous
harrison ford,PN,famous
ben kingsley,PN,famous
marsha mason,PN,famous
helen mirren,PN,famous
jacki weaver,PN,famous
